,TF-IDF
salmonella,0.6644346604704352
contamination,0.5801638955573729
potential,0.47110130148114776
_b,0.0
piccolo,0.0
pickles,0.0
pickled,0.0
pickle,0.0
pickettii,0.0
picked,0.0
pick,0.0
piccs,0.0
picc,0.0
picnic,0.0
picamilon,0.0
pibas,0.0
piba,0.0
pias,0.0
pi,0.0
phytonadione,0.0
phytoextractum,0.0
pickup,0.0
pico,0.0
pigs,0.0
picolab,0.0
piggyback,0.0
pig,0.0
pies_xd_,0.0
pies,0.0
pierre,0.0
pierogies,0.0
piercings,0.0
piercing,0.0
pierces,0.0
piercer,0.0
pierced,0.0
pierce,0.0
pieces,0.0
piece,0.0
pie,0.0
pid,0.0
pictured,0.0
picture,0.0
pictsweet,0.0
phyt,0.0
physiomonitoring,0.0
physiologically,0.0
physiological,0.0
photodynamic,0.0
photocuring,0.0
photocoagulators,0.0
photocoagulator,0.0
photo,0.0
phosphorus,0.0
phosphorous,0.0
phosphodiesterase,0.0
phosphate,0.0
phosphatase,0.0
phos,0.0
phoria,0.0
phorate,0.0
phone,0.0
phoenixspec,0.0
phoenix,0.0
phny_,0.0
phnb_,0.0
phlebotomy,0.0
photometer,0.0
photometers,0.0
photomultiplier,0.0
physical,0.0
physiologic,0.0
physio,0.0
physics,0.0
physicist,0.0
physicians,0.0
physician_xd_,0.0
physician,0.0
physically,0.0
phygen,0.0
photon,0.0
phu,0.0
phthalic,0.0
phthalates,0.0
phthalate,0.0
phs,0.0
phrenic,0.0
phrase,0.0
phototherapy,0.0
piggybacked,0.0
pigtail,0.0
phillips,0.0
piic,0.0
pivot,0.0
piv,0.0
pituitary,0.0
pittsburgh,0.0
pitting,0.0
pitted,0.0
pitocin,0.0
pitch,0.0
pita,0.0
pit,0.0
piston,0.0
pistachios,0.0
pistachio,0.0
pistache,0.0
pista,0.0
pis,0.0
piroxicam,0.0
piranha,0.0
pipettor,0.0
pivotal,0.0
pivoting,0.0
pivoting_xd_,0.0
place,0.0
plains,0.0
plain,0.0
placing,0.0
places,0.0
placenta,0.0
placement,0.0
